word_id,example_phrase_english,example_phrase_polish,example_sentence_english,explanation
424,sole survivor,jedyny ocalały,He was the sole survivor of the shipwreck.,"The only one of its kind, often used in the context of uniqueness or exclusivity."
425,throughout the city,poprzez całe miasto,The festival was celebrated throughout the city.,"From beginning to end or all the way through, often used in the context of time or space."
426,be wary of strangers,być ostrożnym wobec nieznajomych,She was wary of entering the dark alley.,"Cautious or careful, often used in the context of potential danger or risk."
427,extortionate shakedown,bezczelne żądanie spłaty,The shakedown by the mobster was reported to the police.,"The act of extorting or demanding money, often used in the context of criminal activity or corruption."
428,covert operation,operacja potajemna/ukryta,The CIA carried out a covert operation to capture the terrorist.,"Secret or hidden, often used in the context of espionage or clandestine operations."
429,unearth a treasure,wykopać skarb,The archaeologist unearthed ancient artifacts.,"To uncover or reveal something that was previously hidden or unknown, often used in the context of archeology or discovery."
430,archaeological excavation,wykopaliska archeologiczne,The excavation of the site revealed important historical findings.,"The process of digging or uncovering something, often used in the context of construction or archeology."
431,evaluate the results,ocenić wyniki,The teacher evaluated the students' performance.,"To assess or judge the quality or value of something, often used in the context of education or performance reviews."
432,be in charge of a project,być odpowiedzialnym za projekt,He was in charge of the marketing campaign.,"To have the responsibility or authority to manage or oversee something, often used in the context of leadership or management."
433,a spectre of death,widmo śmierci,The horror movie was full of ghosts and spectres.,"A ghostly or haunting image, often used in the context of horror or the supernatural."
434,expose a scandal,ujawnić skandal,The journalist exposed the corruption scandal.,"To reveal or make visible something that was previously hidden or unknown, often used in the context of journalism or scandal."
435,revoke a license,odwołać licencję,The driver's license was revoked after his DUI arrest.,"To cancel or withdraw something that was previously granted or allowed, often used in the context of legal or administrative decisions."
436,the ascension of Jesus,wniebowstąpienie Jezusa,Christians celebrate the Ascension of Jesus.,"The act of rising or ascending to a higher level or position, often used in the context of religion or mythology."
437,a particular case,szczególny przypadek,This particular book is very popular among teenagers.,"Referring to something specific or unique, often used in the context of details or distinctions."
438,concern for the environment,troska o środowisko,The company's policy shows concern for the environment.,"To be relevant or related to something, often used in the context of issues or problems."
439,further information,dalsze informacje,Please provide further details about your experience.,"To a greater extent or degree, often used in the context of progress or development."
440,military recon mission,misja zwiadowcza wojskowa,The special forces were sent on a recon mission.,"A mission or task to gather information or intelligence, often used in the context of military or espionage operations."
441,allegation of fraud,zarzut oszustwa,He denied the allegations made against him.,"An accusation or claim that someone has done something wrong or illegal, often used in the context of law or politics."
442,a sincere apology,szczere przeprosiny,She made a sincere effort to improve her behavior.,"Genuine or honest, often used in the context of feelings or intentions."
443,plant blight,zaraza roślinna,The farmer had to deal with a blight that destroyed his crops.,"A plant disease that causes damage or decay, often used in the context of agriculture or gardening."
444,either option is fine,"zarówno jedna, jak i druga opcja jest dobra",You can choose either the red or the blue one.,"A conjunction used to connect two options or choices, often used in the context of decision-making or alternatives."
445,tissue paper,chusteczki higieniczne,He used a tissue to wipe his nose.,"A soft and lightweight material often used for wiping or cleaning, often used in the context of hygiene or medical care."
